2,3,4,97,1
2,3,4,1,97
97,97,97,97,97
1,4,3,2,97
1,97,97,97,97
2,97,97,97,97
97,97,97,97,97
2,97,97,97,97
2,97,97,97,97
2,3,97,4,1
2,97,97,97,97
1,2,4,3,97
2,97,97,97,97
2,97,97,97,97
2,3,4,97,97
2,4,1,3,97
1,97,97,97,97
2,3,4,97,1
1,3,4,2,97
97,97,97,97,97
1,4,3,2,97
1,97,97,97,97
2,1,97,97,97
97,97,97,97,97
1,97,97,97,97
1,3,4,97,2
1,4,97,97,97
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,2,97,97,97
4,3,1,2,97
2,4,3,1,97
1,97,97,97,97
1,1,1,97,97
1,97,97,97,97
2,4,3,97,97
2,3,4,1,97
1,97,97,97,97
2,4,3,1,97
2,97,97,97,97
1,97,97,97,97
2,3,4,1,97
1,3,4,2,97
1,97,97,97,97
1,4,97,97,97
1,97,97,97,97
1,97,97,97,97
1,4,3,2,97
1,2,3,4,97
1,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
2,97,97,97,97
2,97,97,97,97
2,3,4,97,1
2,4,97,97,97
2,3,4,1,97
3,1,4,97,97
2,97,97,97,97
4,3,97,2,1
2,3,4,1,97
2,3,4,1,97
2,2,2,2,2
2,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,2,4,3,97
1,97,97,97,97
1,97,97,97,97
2,4,3,97,97
2,1,4,3,97
1,3,98,97,97
3,4,97,1,2
2,97,97,97,97
1,97,97,97,97
2,3,4,1,97
2,4,97,3,1
2,2,2,2,97
2,97,97,97,97
2,3,4,97,97
2,97,97,97,1
2,2,2,97,97
1,4,3,97,97
97,97,97,97,97
2,3,4,97,97
97,97,2,97,98
2,4,1,97,97
1,2,3,4,97
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
2,97,97,3,98
2,4,3,1,97
2,1,97,97,97
2,97,97,97,97
97,97,97,97,97
2,97,97,97,97
1,97,97,97,97
2,3,4,1,97
3,4,1,97,2
1,97,97,97,97
2,3,4,1,97
1,2,97,97,97
2,4,3,1,97
1,2,97,97,97
97,97,97,97,97
1,1,1,1,1
2,3,97,97,97
2,3,4,97,97
1,4,3,2,97
1,97,97,97,97
1,3,1,3,1
2,3,4,97,97
2,97,97,97,97
1,3,2,4,97
2,1,3,97,97
2,1,4,3,97
3,2,4,1,97
1,97,97,97,97
1,97,97,97,97
1,2,3,4,97
2,97,97,97,97
1,97,97,97,97
1,2,4,3,97
1,3,4,2,97
2,3,97,97,97
2,2,2,2,2
3,4,2,1,97
2,97,97,97,97
2,97,97,97,97
2,2,2,97,97
1,3,2,4,97
1,97,97,97,97
1,3,98,2,97
1,97,97,97,97
4,1,97,97,97
97,97,97,97,97
2,3,97,97,97
2,3,4,97,97
2,97,97,97,97
2,3,97,97,97
2,97,97,97,97
1,97,97,97,97
2,97,97,97,97
2,97,97,97,97
2,97,97,97,97
2,1,4,3,97
2,97,97,97,97
2,97,97,97,97
4,3,97,97,97
2,97,97,97,97
2,3,4,1,97
2,97,97,97,97
1,97,97,97,97
2,97,97,97,97
2,3,4,97,97
97,97,97,97,97
1,1,1,1,1
3,97,97,97,97
1,97,97,97,97
2,3,4,97,97
3,1,4,2,97
1,97,97,97,97
1,4,3,97,97
2,3,4,97,97
1,97,97,97,97
1,97,97,97,97
2,97,3,4,1
2,3,4,1,97
2,2,2,2,2
1,2,4,3,97
1,97,97,97,97
2,97,97,97,97
2,4,3,97,97
3,97,97,97,97
2,3,4,1,97
4,97,97,97,97
2,97,97,97,97
1,4,97,97,97
2,97,97,97,97
1,97,97,97,97
2,3,4,1,97
2,3,4,97,97
2,3,4,1,97
2,97,97,97,97
2,4,3,1,97
2,3,4,97,97
2,97,97,97,97
2,1,97,97,97
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
2,3,4,97,97
1,1,97,97,97
3,1,4,2,97
1,3,1,97,97
2,97,97,97,97
2,1,3,4,97
1,97,97,97,97
2,97,97,97,97
2,4,3,97,97
1,3,2,4,97
1,4,97,97,97
2,97,97,97,97
2,97,97,97,97
1,97,97,97,97
2,97,97,97,97
2,97,97,97,97
2,3,4,1,97
2,97,97,97,97
97,97,97,97,97
1,97,97,97,97
2,3,97,97,97
1,4,3,2,97
1,97,97,97,97
1,4,2,3,97
1,4,3,2,97
2,3,4,1,97
2,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,3,4,97,1
2,3,97,97,97
97,97,97,97,97
2,3,4,97,97
4,1,97,97,97
3,97,97,97,97
1,4,2,3,97
1,97,97,97,97
1,97,97,97,97
2,3,4,1,97
1,97,97,97,97
2,4,3,97,97
1,4,3,2,97
1,4,3,2,97
2,97,97,97,97
2,3,97,97,97
1,1,1,1,1
2,3,4,1,97
2,3,4,97,97
97,97,97,97,97
2,3,97,97,97
1,3,4,2,97
1,4,3,2,97
2,3,97,97,97
2,97,97,97,97
1,1,1,1,1
2,4,3,97,97
97,97,97,97,97
2,97,97,97,97
2,97,97,97,97
2,3,1,4,97
2,2,2,2,2
1,97,97,97,97
1,4,97,97,97
2,3,4,1,97
2,3,4,1,97
3,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,1,1,1,1
2,4,3,1,97
2,3,4,97,97
2,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,3,97,97,97
1,4,97,97,97
2,3,4,1,97
2,97,97,97,97
2,4,97,3,1
2,3,4,97,97
1,97,97,97,97
2,3,4,97,97
1,4,2,3,97
2,97,97,97,97
2,97,97,97,97
2,97,97,97,97
2,97,97,97,97
2,3,4,1,97
1,4,3,2,97
1,1,4,2,97
97,2,97,97,97
2,3,4,97,1
2,4,3,1,97
2,97,97,97,97
97,97,97,97,97
1,97,97,97,97
2,4,97,97,97
2,3,4,1,97
2,3,4,1,97
1,97,97,97,97
1,3,4,2,97
1,2,3,4,97
2,97,3,4,1
4,1,97,2,3
1,2,97,97,97
3,97,97,97,97
1,97,97,97,97
2,1,97,97,97
2,4,3,1,97
3,4,1,2,97
1,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,2,97,97,97
2,2,2,2,2
2,2,3,4,97
3,4,2,1,97
1,3,2,4,97
2,3,4,1,97
2,3,4,1,97
1,97,97,97,97
2,4,97,97,97
1,97,97,97,97
2,4,3,97,97
1,2,4,3,97
1,97,97,97,97
1,2,4,3,97
1,97,97,97,97
2,3,4,97,97
2,97,97,97,97
4,1,2,3,97
1,4,3,2,97
2,1,3,4,97
1,3,4,97,2
1,97,97,97,97
2,97,97,97,97
2,3,97,4,1
97,97,97,97,97
2,97,97,97,97
4,3,97,97,97
2,3,4,1,97
1,1,1,1,1
2,4,3,97,97
97,97,97,97,97
2,1,4,3,97
2,97,97,97,97
1,97,97,97,97
2,97,97,97,97
1,4,3,97,97
2,97,97,97,97
97,4,2,3,97
3,4,97,97,97
1,1,1,1,1
2,3,4,97,1
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
97,97,97,97,97
2,97,97,97,97
4,3,1,2,97
2,97,97,97,97
1,4,3,2,97
1,97,97,97,97
2,3,4,1,97
2,4,3,1,97
2,3,4,97,97
2,3,4,97,97
3,1,2,4,97
1,4,3,2,97
1,4,2,3,97
1,3,2,97,4
2,97,97,97,97
1,97,97,97,97
2,3,4,1,97
1,97,97,97,97
1,97,97,97,97
2,4,3,1,97
1,97,97,97,97
4,3,2,1,97
2,4,3,97,97
1,97,97,97,97
2,1,3,4,97
2,2,97,97,97
1,97,97,97,97
97,97,97,97,97
2,4,3,1,97
1,4,3,2,97
1,3,4,1,97
2,97,97,97,1
2,97,97,97,97
2,1,97,97,97
2,3,4,1,97
2,97,97,97,97
2,3,97,97,97
2,97,97,97,97
1,97,97,97,97
2,3,97,97,97
2,3,4,1,97
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
1,4,2,3,97
3,4,2,97,97
97,97,97,97,97
2,97,97,97,97
1,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
97,97,97,97,97
1,97,97,97,97
3,2,97,97,97
3,97,97,97,97
1,97,97,97,97
1,4,2,3,97
1,97,97,97,97
1,97,97,97,97
2,3,4,1,97
1,4,3,2,97
3,97,97,97,97
1,97,97,97,97
97,97,97,97,97
2,3,4,97,97
2,97,97,97,97
1,97,97,97,97
1,3,4,2,97
2,4,3,97,97
1,97,97,97,97
2,3,1,4,97
97,97,97,97,97
1,97,97,97,97
2,3,4,97,1
3,4,97,97,98
2,97,97,97,97
3,4,2,1,97
2,97,97,97,97
1,2,97,97,97
1,4,3,2,97
1,97,4,2,3
2,4,97,97,97
2,97,97,97,97
4,2,3,1,97
4,97,97,97,97
2,3,4,1,97
2,97,97,97,97
2,3,97,97,97
1,4,3,2,97
2,97,97,97,97
2,97,97,97,97
2,97,97,97,97
2,3,97,97,97
2,97,97,97,97
3,2,4,1,97
1,97,97,97,97
2,3,1,4,97
2,3,1,97,97
1,97,97,97,97
1,3,4,2,97
1,1,1,1,1
1,97,97,97,97
2,3,4,97,97
2,97,4,3,1
1,97,97,97,97
1,97,97,97,97
97,97,97,97,97
2,97,97,97,97
2,3,4,97,97
2,3,4,97,1
2,3,4,97,97
2,97,97,97,97
2,3,97,97,97
1,97,97,97,97
97,97,97,97,97
1,4,97,97,97
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
2,97,97,97,97
3,2,4,97,97
2,4,3,1,97
2,3,4,1,97
2,4,3,1,97
2,3,4,1,97
2,4,3,1,97
1,97,97,97,97
1,4,3,97,2
1,97,97,97,97
3,1,2,4,97
2,97,97,97,97
1,3,97,97,97
1,97,97,97,97
2,97,97,97,97
2,3,4,1,97
2,3,4,97,97
2,1,3,97,97
2,97,97,97,97
2,4,1,3,97
1,97,97,97,97
1,97,97,97,97
2,4,3,1,97
2,3,4,97,97
2,3,4,1,97
97,97,97,97,97
1,97,97,97,97
1,2,3,4,97
2,2,2,2,2
2,97,97,97,97
1,97,97,97,97
2,4,3,1,97
3,2,4,1,97
2,1,97,97,97
1,4,3,2,97
2,97,97,97,97
1,4,3,97,97
2,3,4,97,97
2,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
2,3,4,97,97
1,4,3,2,97
2,97,97,97,97
97,1,97,97,97
97,97,97,97,97
2,97,97,97,97
1,4,3,2,97
1,3,2,4,97
2,97,97,97,97
2,4,3,1,97
2,97,97,97,97
2,97,97,97,97
2,97,97,97,97
2,3,4,97,97
1,97,97,97,97
2,4,3,1,97
2,97,97,97,97
2,4,97,97,97
1,4,3,2,97
2,97,97,97,97
2,97,97,97,97
2,3,97,97,97
3,2,4,1,97
1,97,97,97,97
2,4,3,1,97
3,4,1,2,97
2,2,2,2,2
2,3,97,97,97
1,3,97,97,97
1,4,3,2,97
2,1,3,4,97
1,97,97,97,97
1,97,97,97,97
1,4,3,97,97
2,4,97,97,97
2,3,4,97,1
2,97,97,97,97
2,4,3,1,97
1,3,97,97,97
1,97,97,97,97
2,3,97,97,97
1,3,4,97,97
2,3,1,4,97
2,1,97,97,97
2,97,97,97,97
1,97,97,97,97
2,3,4,97,97
1,97,97,97,97
1,97,97,97,97
97,97,97,97,97
1,97,97,97,97
1,4,3,97,97
1,97,97,97,97
2,3,4,1,97
1,4,3,2,97
3,4,4,97,97
2,1,4,3,97
2,97,97,97,97
1,97,97,97,97
2,4,97,97,97
1,4,2,3,2
2,97,97,97,97
2,97,97,97,97
2,3,4,97,97
2,3,4,1,97
1,3,4,2,97
2,2,97,97,97
2,3,4,97,97
3,97,97,97,97
1,2,97,97,97
2,3,4,97,97
2,97,97,97,97
1,3,4,2,97
1,2,97,97,97
2,4,97,97,97
1,2,3,4,97
4,1,97,97,97
1,97,97,97,97
2,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,4,3,2,97
2,97,97,97,97
97,97,97,97,97
3,4,1,2,97
1,97,97,97,97
1,3,4,2,97
2,4,3,97,97
4,2,3,1,97
1,97,97,97,97
2,3,4,1,97
4,2,97,97,97
2,97,97,97,97
2,3,4,97,97
2,97,97,97,97
1,97,97,97,97
1,3,97,97,97
2,3,4,1,97
1,97,97,97,97
2,3,4,97,97
1,97,97,97,97
1,3,4,2,97
1,2,97,97,97
2,97,97,97,97
2,1,3,97,4
3,2,4,97,1
2,97,97,97,97
2,3,2,1,97
2,1,97,97,97
1,97,97,97,97
1,3,4,98,97
2,4,3,97,97
1,2,4,3,97
3,97,97,97,97
1,97,97,97,97
2,3,4,1,97
1,97,97,97,3
97,97,97,97,97
1,3,97,97,2
2,4,3,1,97
2,2,3,1,97
97,97,97,97,97
2,3,4,1,97
1,3,4,2,97
2,97,97,97,97
2,3,4,1,97
1,97,97,97,97
1,4,3,97,2
2,3,4,1,97
2,97,97,97,97
1,97,3,97,97
1,4,3,2,97
2,97,97,97,97
1,97,97,97,97
2,4,3,97,97
1,4,2,3,97
1,4,2,3,97
1,97,97,97,97
2,4,3,97,97
2,4,3,97,97
2,3,97,97,97
1,3,4,2,97
97,97,97,97,97
2,97,97,97,97
2,3,4,97,97
1,97,97,97,97
2,3,4,97,1
1,97,97,97,97
1,2,3,4,97
1,97,97,97,97
1,97,97,97,97
97,97,97,97,97
1,97,97,97,97
3,4,1,4,97
2,3,4,1,97
2,3,4,1,97
98,4,3,97,97
2,97,97,97,97
1,97,97,97,97
2,3,4,97,97
97,97,97,97,97
1,97,97,97,97
2,2,2,2,2
1,97,1,4,3
3,97,97,97,97
1,3,4,2,1
1,97,97,97,97
1,97,97,97,97
4,3,2,1,97
1,97,97,97,97
2,3,4,1,97
2,1,3,4,97
2,3,4,1,97
2,3,97,97,97
2,4,3,1,97
2,97,97,97,97
2,97,97,97,97
2,3,4,1,97
2,97,97,97,97
1,97,97,97,97
1,97,97,97,97
1,3,4,97,97
97,97,97,97,97
1,3,4,2,97
1,97,97,97,97
1,97,97,97,97
2,2,2,2,2
2,3,97,97,97
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
2,1,3,4,97
1,3,97,97,97
2,97,97,97,97
2,3,4,97,97
2,3,97,97,97
1,97,97,97,97
2,4,3,1,97
97,97,97,97,97
2,3,4,1,97
1,97,97,97,97
1,97,97,97,97
1,4,3,2,97
1,4,3,97,2
1,97,97,97,97
2,97,97,97,97
2,3,97,97,97
2,3,4,1,97
1,97,97,97,97
2,3,4,1,97
97,97,97,97,97
1,97,97,97,97
2,97,97,97,97
3,4,2,1,97
1,97,97,97,97
1,1,1,1,1
2,2,2,2,2
2,3,4,97,1
2,3,4,1,97
2,97,97,97,97
2,3,97,97,97
2,97,97,97,97
1,1,1,1,1
2,97,97,97,97
1,97,97,97,97
2,2,97,97,97
2,3,4,1,97
2,3,4,1,1
2,97,97,97,97
1,97,97,97,97
2,4,3,1,97
1,4,3,2,97
2,97,97,97,97
2,97,97,97,97
2,4,3,1,97
2,97,97,97,97
2,3,97,97,97
1,2,3,4,97
1,97,97,97,97
4,2,1,97,97
2,97,97,97,97
1,97,97,97,97
2,3,4,97,97
4,3,1,2,97
1,97,97,97,97
1,3,4,97,97
3,2,4,1,97
1,4,3,2,97
2,97,97,97,97
2,3,4,1,97
2,97,97,97,97
2,4,3,97,1
1,3,4,97,97
2,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,2,97,97,97
2,3,4,1,97
2,3,4,1,97
97,97,97,97,97
1,97,97,97,97
2,4,3,1,97
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
1,97,97,97,97
2,1,4,3,97
2,97,97,97,97
1,97,97,97,97
2,3,4,1,97
2,4,3,97,97
2,97,97,97,97
2,97,97,97,97
2,97,97,97,97
1,3,4,2,97
2,97,97,97,97
2,1,4,3,97
2,3,4,1,97
2,3,4,1,97
1,4,97,97,97
2,3,4,1,97
3,4,97,97,97
2,3,4,1,97
97,97,97,97,97
2,97,97,97,97
4,1,97,2,3
3,4,97,1,2
2,4,3,1,97
1,97,4,3,2
97,97,97,97,97
2,4,97,97,97
1,97,97,97,97
2,4,3,97,97
1,97,97,97,97
1,97,97,97,97
2,3,97,97,97
2,3,97,97,97
2,3,4,97,97
1,97,97,97,97
1,3,4,2,97
2,3,4,97,97
1,97,97,97,97
2,97,97,97,97
1,97,97,97,97
3,1,4,97,2
2,3,4,97,1
2,3,4,97,97
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
2,97,97,97,97
2,97,97,97,97
1,3,2,4,97
1,3,4,2,97
3,97,4,2,1
1,97,97,97,97
2,3,4,97,97
2,97,97,97,97
2,97,97,97,97
1,4,3,2,97
1,97,97,97,97
1,3,4,2,97
1,97,97,97,97
1,2,3,4,97
97,97,97,97,97
97,97,97,97,97
2,3,4,97,97
2,3,4,97,97
97,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
2,97,97,97,97
1,2,3,4,97
2,97,97,97,97
2,3,4,97,97
1,1,1,1,1
2,97,97,3,98
1,97,97,97,97
1,97,97,97,97
97,97,97,97,97
1,2,4,3,97
2,4,3,97,97
2,97,97,97,97
2,3,97,97,97
2,97,97,97,97
97,97,97,97,97
2,4,3,1,97
2,97,97,97,97
2,97,97,97,97
3,4,97,97,97
2,97,97,97,97
1,4,2,3,97
2,97,97,97,97
1,4,2,2,2
2,3,4,1,97
3,1,4,97,97
2,97,97,97,97
97,97,97,97,97
1,97,97,97,97
2,3,4,97,97
2,3,4,97,97
1,2,4,3,97
2,97,97,97,97
2,97,97,97,97
2,97,97,97,97
2,3,4,1,97
2,3,4,1,97
1,97,97,97,97
1,97,4,3,2
97,97,97,97,97
2,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,2,3,98,97
97,97,97,97,97
1,97,97,97,97
1,4,2,3,97
1,97,97,2,98
3,2,4,97,97
1,3,97,97,97
2,3,4,97,97
1,97,97,97,97
2,4,3,1,97
1,4,2,3,97
1,97,97,97,97
2,4,3,1,97
2,1,3,4,97
1,3,4,97,97
97,97,97,97,97
2,4,3,97,97
2,97,97,97,97
2,2,1,1,1
1,4,2,3,97
2,3,4,1,97
2,3,97,97,97
1,3,4,2,97
1,97,97,97,97
1,97,97,97,97
1,4,2,3,97
1,3,4,2,97
2,3,4,1,97
1,1,1,1,1
2,97,97,97,97
1,97,97,97,97
2,3,4,97,97
2,97,97,97,97
2,97,97,97,97
4,3,1,97,97
1,97,97,97,97
1,4,97,97,97
2,97,97,97,97
2,97,97,97,97
2,3,4,97,1
2,97,97,97,97
1,97,97,97,97
2,97,97,97,97
1,4,97,97,97
2,1,3,4,97
2,97,97,97,97
1,97,97,97,97
1,4,3,2,97
2,4,3,1,97
97,97,97,97,97
1,97,97,97,97
1,3,97,97,97
3,97,97,97,97
3,4,2,1,97
1,97,97,97,97
2,4,3,1,1
2,97,97,97,97
97,97,97,97,97
1,4,97,97,97
3,97,97,97,97
1,97,97,97,97
2,3,4,1,97
2,97,97,97,97
2,2,97,97,97
1,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,2,97,97,97
1,97,97,97,97
1,1,1,1,1
1,97,97,97,97
3,4,2,1,97
2,4,3,1,97
4,1,3,2,97
2,1,97,97,97
2,97,97,97,97
1,97,97,97,97
2,97,97,97,97
1,2,4,3,97
1,2,97,97,97
97,97,97,97,97
1,97,97,97,97
1,97,97,97,97
1,4,3,97,2
1,97,3,4,2
2,97,97,97,97
2,3,97,97,97
2,97,97,97,97
2,97,97,97,97
1,97,97,97,97
4,97,97,97,97
1,3,4,2,97
97,97,97,97,97
1,3,4,2,97
2,97,97,97,97
2,3,97,97,97
2,97,97,97,97
97,97,97,97,97
2,4,3,97,1
2,3,4,97,97
2,3,4,97,97
2,3,1,97,97
1,97,97,97,97
2,3,4,1,97
1,97,97,97,97
3,3,3,97,97
1,3,4,97,97
1,4,3,2,97
2,3,97,97,97
2,97,97,97,97
1,1,1,1,1
2,97,97,97,97
2,3,4,97,97
1,97,97,97,97
1,97,97,97,97
2,3,4,97,1
2,3,1,4,97
3,2,97,97,97
1,3,4,2,97
2,97,97,97,97
1,2,3,4,97
1,97,97,97,97
2,3,4,97,97
2,3,4,1,97
1,3,4,2,97
1,97,97,97,97
1,97,97,97,97
2,3,4,97,1
2,3,4,1,97
1,97,97,97,97
1,4,3,2,97
1,97,97,97,97
1,97,97,97,97
1,3,4,2,97
1,97,97,97,97
1,3,4,97,97
3,4,97,97,97
1,4,3,2,97
2,97,97,97,97
3,4,2,1,97
1,1,1,1,1
1,97,97,97,97
2,97,97,97,97
2,97,97,97,97
1,4,3,97,2
1,97,97,97,97
2,3,4,97,1
2,3,4,1,97
97,97,97,97,97
2,1,3,4,97
2,3,4,1,97
1,97,97,97,97
2,3,4,1,97
1,97,97,97,97
1,97,97,97,97
2,2,2,2,2
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
1,97,97,97,97
3,97,97,97,97
1,2,3,4,97
2,97,97,97,97
1,97,97,97,97
2,1,4,3,97
4,1,2,3,97
2,3,4,1,97
2,97,97,97,97
1,2,3,1,97
1,97,97,97,97
1,97,97,97,97
1,4,97,97,97
2,3,97,97,97
1,97,97,97,97
1,97,97,97,97
1,4,3,1,2
2,97,97,97,97
2,3,97,97,1
4,2,1,3,97
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
1,4,3,2,97
3,2,4,1,97
3,4,97,97,97
2,97,97,97,97
1,2,3,4,97
2,3,97,97,97
2,3,4,1,97
1,97,97,97,97
2,97,97,97,97
1,4,97,97,97
2,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
2,97,97,97,97
2,3,97,97,97
1,1,1,1,1
1,4,3,2,97
1,97,97,97,97
1,97,97,97,97
2,3,4,1,97
97,97,97,97,97
1,97,97,97,97
4,97,97,97,97
2,97,97,97,97
1,2,3,4,97
2,97,97,97,97
2,3,4,97,97
2,3,4,1,97
2,1,3,4,97
1,97,97,97,97
2,3,4,1,97
2,97,97,97,97
1,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,4,97,97,97
3,97,97,97,97
2,3,4,97,1
1,3,2,3,4
1,97,97,97,97
4,1,3,2,97
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,3,4,97,97
2,3,4,97,97
3,4,97,97,97
2,97,97,97,97
1,4,97,3,2
2,97,97,97,97
1,3,2,4,2
2,97,97,97,97
1,97,97,97,97
2,4,3,1,97
1,97,97,97,97
2,97,97,97,97
1,3,97,97,97
2,3,4,1,97
1,97,97,97,97
2,3,4,1,97
1,2,3,4,97
2,97,97,97,97
1,4,2,3,97
2,97,97,97,97
2,97,97,97,97
2,3,4,97,97
2,1,2,3,97
1,97,97,97,97
2,4,3,97,1
1,1,1,1,1
2,3,1,4,97
1,97,97,97,97
2,3,4,1,97
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
1,4,3,97,97
1,97,97,97,97
1,97,97,97,97
2,3,4,1,97
1,97,97,97,97
97,97,97,97,97
1,97,97,97,97
1,3,4,97,97
2,3,2,97,97
2,2,2,97,97
1,3,97,97,97
2,97,97,97,97
3,1,97,97,97
3,4,2,1,97
2,97,97,97,97
1,97,97,97,97
4,97,97,97,97
1,97,97,97,97
3,4,1,2,97
1,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,97,97,97,97
3,4,2,1,97
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
1,97,4,3,97
3,4,2,1,97
3,97,97,97,97
1,97,97,97,97
2,97,97,97,97
2,4,1,97,97
1,97,97,97,97
1,97,97,97,97
1,2,3,1,97
1,97,97,97,97
3,4,97,97,97
2,3,97,97,97
3,4,97,97,97
1,3,4,2,97
1,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,3,4,1,97
2,3,4,1,97
1,2,3,4,97
3,1,4,2,97
2,97,97,97,97
1,2,97,97,97
2,3,4,97,97
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
1,1,1,1,1
1,3,2,4,97
2,2,2,2,2
1,3,97,97,97
2,97,97,97,97
2,1,4,3,97
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
1,4,2,97,97
1,2,97,97,97
1,4,97,97,97
1,97,97,97,97
1,97,97,97,97
1,3,97,97,97
1,97,97,97,97
2,4,3,97,97
2,4,3,97,97
3,97,97,97,97
1,4,3,2,97
1,97,97,97,97
2,1,3,4,97
2,3,4,97,97
1,97,97,97,97
2,3,4,97,97
2,4,3,97,97
1,97,97,97,97
2,4,3,1,97
1,3,4,2,97
2,97,97,97,97
2,97,97,97,97
1,97,97,97,97
4,97,97,97,97
1,97,4,3,2
1,3,4,2,97
1,4,3,2,97
3,1,4,2,97
3,97,97,97,97
2,97,97,97,97
2,3,4,1,97
1,97,97,97,97
1,97,97,97,97
1,4,3,2,97
3,97,97,97,97
4,97,97,97,97
2,97,97,97,97
2,97,97,97,97
1,1,1,1,1
2,3,97,97,97
4,97,97,97,97
4,97,1,2,3
1,4,3,2,97
1,97,97,97,97
2,3,97,97,97
1,97,97,97,97
1,97,97,97,97
2,1,3,4,97
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,97,97,97,97
1,2,4,97,97
2,97,97,97,97
1,4,3,2,97
1,3,4,2,97
2,97,3,4,1
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,3,4,97,97
1,97,97,97,97
2,98,4,3,97
1,97,97,97,97
1,97,97,97,97
2,3,1,4,97
1,97,97,97,97
2,97,97,97,97
2,1,3,97,97
1,97,97,97,97
2,97,97,97,97
2,1,3,4,97
2,3,1,97,97
2,97,97,97,97
1,97,97,97,97
1,97,97,97,97
1,2,3,97,97
1,97,97,97,97
2,97,97,97,97
2,1,3,4,97
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,1,97,97,97
3,4,97,97,97
2,97,97,97,97
1,97,97,97,97
2,3,97,97,97
2,4,3,1,97
3,3,3,3,3
1,4,97,97,97
2,97,97,97,97
4,3,97,97,97
1,3,98,2,97
2,3,4,1,97
2,97,97,97,97
1,97,97,97,97
3,97,97,97,97
2,2,2,2,97
1,1,1,1,1
3,2,4,1,97
3,97,97,97,97
1,4,3,97,2
1,97,97,97,97
2,4,3,97,1
3,4,2,1,97
1,4,3,2,97
1,2,97,97,97
1,97,97,97,97
1,4,3,2,97
1,97,97,97,97
1,97,97,97,97
3,4,1,2,97
1,3,4,2,97
1,4,2,3,97
1,97,97,97,97
1,4,3,2,97
1,97,97,97,97
1,97,97,97,97
2,4,3,97,97
2,2,2,2,2
1,4,3,2,97
1,3,4,97,97
1,97,4,3,2
2,1,97,97,97
1,3,4,97,97
2,97,97,97,97
2,3,4,1,97
2,3,4,97,97
2,97,97,97,97
1,2,3,97,97
1,3,4,2,97
2,97,97,97,97
1,97,97,97,97
97,97,97,97,97
3,4,1,2,97
2,3,4,1,97
1,97,97,97,97
1,97,97,97,97
2,3,97,97,97
1,2,97,97,97
1,97,97,97,97
2,3,4,97,1
1,97,97,97,97
1,97,97,97,97
1,3,4,97,97
2,3,4,97,1
2,4,1,97,3
1,97,97,97,97
1,97,97,97,97
1,97,97,97,97
1,2,4,3,97
2,3,4,1,97
2,4,3,1,97
2,4,3,1,97
1,4,97,97,97
2,3,97,97,97
2,97,97,97,97
1,97,97,97,97
1,97,97,97,97
2,4,97,97,97
1,97,97,97,97
4,3,2,1,97
2,97,97,97,97
2,4,3,97,97
2,4,97,97,97
2,4,3,1,97
2,3,4,1,97
1,97,97,97,97
1,1,1,1,1
1,97,97,97,97
